id;nombre;fecha_creacion;descripcion;archivo;archivo_content_type;creador_id
1;non-volatile;2020-05-11T14:22:37;mobile;../fake-data/blob/hipster.png;image/png;2
2;connect transmit;2020-05-11T11:54:47;Borders Branding evolve;../fake-data/blob/hipster.png;image/png;1
3;Rupiah alliance sky blue;2020-05-11T01:24:10;Gabon;../fake-data/blob/hipster.png;image/png;2
4;Missouri Borders PNG;2020-05-11T09:23:18;Auto Loan Account cutting-edge SCSI;../fake-data/blob/hipster.png;image/png;2
5;PCI solid state Electronics;2020-05-10T23:16:40;Georgia;../fake-data/blob/hipster.png;image/png;1
6;Cotton;2020-05-11T07:17:12;navigating SAS;../fake-data/blob/hipster.png;image/png;1
7;tan Chips Handmade Rubber Soap;2020-05-11T03:10:28;Concrete;../fake-data/blob/hipster.png;image/png;1
8;Connecticut Senior Avon;2020-05-10T15:07:25;Chips Principal circuit;../fake-data/blob/hipster.png;image/png;2
9;Points Bedfordshire Toys;2020-05-11T09:39:03;Soft;../fake-data/blob/hipster.png;image/png;2
10;web-enabled Glen;2020-05-11T10:33:32;Total Future;../fake-data/blob/hipster.png;image/png;1
